site,date,year,month,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,week
Coffin,2015-08-25T00:00:00Z,2015,8,25,237,0.4385634501,2.12208121E-2,0.4597842622,-4.9515228199999983E-2,34
Coffin,2015-09-03T00:00:00Z,2015,9,3,246,3.3316674996,0.38197461780000003,3.7136421174,3.2538578552000001,35
Coffin,2015-09-10T00:00:00Z,2015,9,10,253,0.5941827388,3.5368020200000003E-2,0.6295507589,-3.0840913585000003,36
Coffin,2015-09-17T00:00:00Z,2015,9,17,260,0.7002867993,0,0.7002867993,7.0736040400000033E-2,37
Coffin,2015-09-24T00:00:00Z,2015,9,24,267,0.1697664968,7.0736039999999998E-3,0.1768401008,-0.52344669850000003,38
Coffin,2015-10-02T00:00:00Z,2015,10,2,275,0.0636624363,0,0.0636624363,-0.11317766450000001,39
Coffin,2015-10-10T00:00:00Z,2015,10,10,283,0.1273248726,3.5368020200000003E-2,0.1626928928,9.9030456499999989E-2,40
Coffin,2015-10-12T00:00:00Z,2015,10,12,285,0.0141472081,0,0.0141472081,-0.14854568469999999,41
Coffin,2016-05-26T00:00:00Z,2016,5,26,147,0.007073604,0,0.007073604,-7.0736040999999994E-3,21
Coffin,2016-06-03T00:00:00Z,2016,6,3,155,0.0848832484,4.24416242E-2,0.1273248726,0.1202512686,22
Coffin,2016-06-16T00:00:00Z,2016,6,16,168,0.1839137049,0.1839137049,0.3678274097,0.2405025371,24
Coffin,2016-06-23T00:00:00Z,2016,6,23,175,0.0565888323,4.24416242E-2,0.0990304565,-0.26879695319999997,25
Coffin,2016-06-30T00:00:00Z,2016,6,30,182,0.0282944161,3.5368020200000003E-2,0.0636624363,-3.5368020200000003E-2,26
Coffin,2016-07-07T00:00:00Z,2016,7,7,189,0.0282944161,1.4147208099999999E-2,0.0424416242,-2.12208121E-2,27
Coffin,2016-07-14T00:00:00Z,2016,7,14,196,0.1343984766,0.1414720807,0.2758705573,0.23342893309999999,28
Coffin,2016-07-21T00:00:00Z,2016,7,21,203,0.0495152282,2.8294416100000001E-2,0.0778096444,-0.1980609129,29
Coffin,2016-07-27T00:00:00Z,2016,7,27,209,0.5234466984,0.14854568470000001,0.6719923831,0.59418273869999993,30
Coffin,2016-08-15T00:00:00Z,2016,8,15,228,0.47746827225,0.3430697956,0.82053806785,0.14854568475000007,33
Coffin,2016-08-22T00:00:00Z,2016,8,22,235,1.2944695381,0.3961218259,1.6905913639,0.87005329605000004,34
Coffin,2016-08-31T00:00:00Z,2016,8,31,244,0.5517411146,7.7809644400000003E-2,0.6295507589,-1.0610406050000001,35
Coffin,2016-09-07T00:00:00Z,2016,9,7,251,0.4880786783,2.8294416100000001E-2,0.5163730944,-0.1131776645,36
Coffin,2016-09-14T00:00:00Z,2016,9,14,258,0.3183121815,1.4147208099999999E-2,0.3324593896,-0.18391370480000002,37
Coffin,2016-09-21T00:00:00Z,2016,9,21,265,0.6083299468,5.6588832300000003E-2,0.6649187791,0.33245938949999998,38
Coffin,2016-09-28T00:00:00Z,2016,9,28,272,0.0282944161,2.12208121E-2,0.0495152282,-0.61540355089999998,39
Coffin,2016-10-05T00:00:00Z,2016,10,5,279,0.0495152282,0,0.0495152282,0,40
Fichter,2007-06-21T00:00:00Z,2007,6,21,172,0,0,0,"NA",24
Fichter,2007-06-28T00:00:00Z,2007,6,28,179,0.0848832484,0,0.0848832484,8.48832484E-2,25
Fichter,2007-07-05T00:00:00Z,2007,7,5,186,0.6083299468,9.9030456500000003E-2,0.7073604033,0.62247715490000011,26
Fichter,2007-07-12T00:00:00Z,2007,7,12,193,0.007073604,7.0736039999999998E-3,0.0141472081,-0.69321319520000002,27
Fichter,2007-07-19T00:00:00Z,2007,7,19,200,0.1131776645,2.12208121E-2,0.1343984766,0.12025126850000001,28
Fichter,2007-07-26T00:00:00Z,2007,7,26,207,1.0327461888,1.9098730889,2.9426192778,2.8082208012000001,29
Fichter,2007-08-02T00:00:00Z,2007,8,2,214,0.9973781687,3.0770177543999999,4.0743959231,1.1317766453,30
Fichter,2007-08-09T00:00:00Z,2007,8,9,221,1.6764441558,9.8464568140999997,11.52290097,7.4485050469000003,31
