Date,daily_mean_PAR_umolm2s,sampling_time_temp,sampling_time
2014-06-30,NA,106,NA
2014-07-01,NA,106,NA
2014-07-02,NA,106,106
2014-07-03,NA,107,NA
2014-07-04,NA,107,NA
2014-07-05,NA,107,NA
2014-07-06,NA,107,NA
2014-07-07,NA,107,NA
2014-07-08,NA,107,NA
2014-07-09,NA,107,107
2014-07-11,NA,108,NA
2014-07-12,NA,108,NA
2014-07-13,NA,108,NA
2014-07-14,NA,108,NA
2014-07-15,NA,108,NA
2014-07-16,NA,108,NA
2014-07-17,NA,108,108
2014-07-18,NA,109,NA
2014-07-19,NA,109,NA
2014-07-20,NA,109,NA
2014-07-21,NA,109,NA
2014-07-22,NA,109,NA
2014-07-23,NA,109,109
2014-07-24,NA,110,NA
2014-07-25,NA,110,NA
2014-07-26,NA,110,NA
2014-07-27,NA,110,NA
2014-07-28,NA,110,NA
2014-07-29,NA,110,NA
2014-07-30,NA,110,110
2014-07-31,NA,111,NA
2014-08-01,NA,111,NA
2014-08-02,NA,111,NA
2014-08-03,NA,111,NA
2014-08-04,NA,111,NA
2014-08-05,NA,111,NA
2014-08-06,NA,111,111
2014-08-07,NA,112,NA
2014-08-08,NA,112,NA
2014-08-09,NA,112,NA
2014-08-10,NA,112,NA
2014-08-11,NA,112,NA
2014-08-12,NA,112,112
2014-08-14,NA,113,NA
2014-08-15,NA,113,NA
2014-08-16,NA,113,NA
2014-08-17,NA,113,NA
2014-08-18,NA,113,NA
2014-08-19,NA,113,NA
2014-08-20,NA,113,113
2014-08-21,NA,114,NA
2014-08-22,NA,114,NA
2014-08-23,NA,114,NA
2014-08-24,NA,114,NA
2014-08-25,NA,114,NA
2014-08-26,NA,114,NA
2014-08-27,NA,114,114
2014-08-29,NA,115,NA
2014-08-30,NA,115,NA
2014-08-31,NA,115,NA
2014-09-01,NA,115,NA
2014-09-02,NA,115,NA
2014-09-03,NA,115,NA
2014-09-04,NA,115,115
2014-09-05,NA,116,NA
2014-09-06,NA,116,NA
2014-09-07,NA,116,NA
2014-09-08,NA,116,NA
2014-09-09,NA,116,NA
2014-09-10,NA,116,116
2014-09-11,NA,117,NA
2014-09-12,NA,117,NA
2014-09-13,NA,117,NA
2014-09-14,NA,117,NA
2014-09-15,NA,117,NA
2014-09-16,NA,117,NA
