date,ppt_mm,ma_3,ma_5,ma_7,ma_10,ma_14
2012-04-23,35.66,13.909999999999998,8.346,5.961428571428571,4.173,3.077142857142857
2012-04-24,7.18,16.30333333333333,9.782,6.987142857142857,4.891,3.559285714285714
2012-04-25,0.37,14.40333333333333,9.855999999999998,7.039999999999999,4.927999999999999,3.5857142857142854
2012-04-26,0.72,2.7566666666666664,10,7.142857142857143,5,3.5714285714285716
2012-04-27,7.85,2.979999999999999,10.355999999999998,8.264285714285714,5.784999999999999,4.132142857142857
2012-04-28,0,2.856666666666666,3.224,8.264285714285714,5.784999999999999,4.132142857142857
2012-04-29,0,2.6166666666666663,1.7879999999999998,7.397142857142856,5.784999999999999,4.132142857142857
2012-04-30,0,-3.3306690738754696e-16,1.714,2.302857142857143,5.784999999999999,4.132142857142857
2012-05-01,6.15,2.05,2.8,2.1557142857142857,6.4,4.571428571428571
2012-05-02,11.87,6.006666666666667,3.604,3.7985714285714285,6.9799999999999995,5.419285714285714
2012-05-03,2.55,6.856666666666666,4.114,4.06,3.6689999999999996,5.601428571428571
2012-05-04,6.58,6.999999999999999,5.43,3.8785714285714286,3.6089999999999995,6.071428571428571
2012-05-05,0.91,3.3466666666666662,5.612,4.008571428571428,3.6629999999999994,6.136428571428572
2012-05-06,0,2.4966666666666666,4.382,4.008571428571428,3.5909999999999997,5.702857142857142
2012-05-07,0,0.30333333333333307,2.008,4.008571428571428,2.806,3.1557142857142857
2012-05-08,4.76,1.5866666666666662,2.45,3.8099999999999996,3.282,2.9828571428571427
2012-05-09,24.24,9.666666666666666,5.981999999999999,5.577142857142857,5.7059999999999995,4.687857142857142
2012-05-10,11.03,13.343333333333332,8.005999999999998,6.788571428571428,6.808999999999999,5.424285714285714
2012-05-11,2.52,12.596666666666666,8.51,6.208571428571429,6.446,5.043571428571428
2012-05-12,0,4.516666666666667,8.51,6.078571428571428,5.2589999999999995,5.043571428571428
2012-05-13,0,0.8399999999999997,7.558,6.078571428571428,5.004,5.043571428571428
2012-05-14,0.74,0.24666666666666634,2.857999999999999,6.184285714285714,4.42,5.096428571428571
2012-05-15,14.97,5.236666666666666,3.6459999999999995,7.642857142857143,5.826,5.726428571428571
2012-05-16,6.03,7.246666666666666,4.348,5.041428571428571,6.428999999999999,5.309285714285714
2012-05-17,10.31,10.436666666666666,6.409999999999999,4.938571428571429,7.459999999999999,5.863571428571428
2012-05-18,0,5.446666666666666,6.409999999999999,4.578571428571429,6.984,5.393571428571428
2012-05-19,0,3.436666666666666,6.262,4.578571428571429,4.5600000000000005,5.328571428571428
2012-05-20,0,-4.070817756958907e-16,3.2679999999999993,4.578571428571429,3.457,5.328571428571428
2012-05-21,0,-4.070817756958907e-16,2.0619999999999994,4.472857142857143,3.2049999999999996,5.328571428571428
2012-05-22,0.64,0.21333333333333293,0.12799999999999948,2.425714285714286,3.2689999999999997,5.034285714285715
2012-05-23,1.79,0.8099999999999996,0.4859999999999995,1.8200000000000005,3.4479999999999995,3.4307142857142856
2012-05-24,0.39,0.9399999999999996,0.5639999999999995,0.40285714285714336,3.4130000000000003,2.670714285714286
2012-05-25,0,0.7266666666666662,0.5639999999999995,0.40285714285714336,1.916,2.4907142857142857
2012-05-26,2.71,1.033333333333333,1.1059999999999994,0.7900000000000004,1.5839999999999999,2.684285714285714
2012-05-27,0,0.9033333333333329,0.9779999999999994,0.7900000000000004,0.5529999999999997,2.684285714285714
2012-05-28,0,0.9033333333333329,0.6199999999999994,0.7900000000000004,0.5529999999999997,2.6314285714285712
2012-05-29,0.78,0.2599999999999996,0.6979999999999995,0.8100000000000005,0.6309999999999998,1.6178571428571427
2012-05-30,24.76,8.513333333333334,5.65,4.091428571428572,3.107,2.9557142857142855
2012-05-31,0,8.513333333333334,5.108,4.0357142857142865,3.107,2.219285714285714
2012-06-01,0,8.253333333333334,5.108,4.0357142857142865,3.043,2.219285714285714
2012-06-02,5.94,1.9800000000000002,6.296,4.497142857142858,3.4579999999999997,2.6435714285714282
2012-06-03,40.22,15.386666666666665,14.184000000000001,10.242857142857144,7.441,5.516428571428571
2012-06-04,2.21,16.12333333333333,9.674,10.55857142857143,7.662000000000001,5.674285714285714
2012-06-05,3.49,15.306666666666667,10.372,10.945714285714287,7.739999999999999,5.877857142857143
2012-06-06,1.5,2.4,10.672,7.622857142857144,7.889999999999999,5.857142857142857
2012-06-07,3.66,2.8833333333333333,10.216,8.145714285714286,8.256,6.090714285714285
2012-06-08,1.82,2.3266666666666667,2.5359999999999996,8.405714285714286,8.36,6.220714285714286
2012-06-09,1.4,2.2933333333333334,2.3739999999999997,7.757142857142858,6.023999999999999,6.127142857142857
2012-06-10,0,1.0733333333333333,1.6759999999999995,2.011428571428572,6.023999999999999,6.127142857142857
2012-06-11,0,0.4666666666666665,1.3759999999999994,1.6957142857142864,6.023999999999999,6.127142857142857
2012-06-12,0,-1.1102230246251565e-16,0.6439999999999995,1.1971428571428577,5.43,6.071428571428571
2012-06-13,14.62,4.873333333333333,3.2039999999999993,3.071428571428572,2.869999999999999,5.347142857142857
2012-06-14,2.19,5.603333333333333,3.361999999999999,2.8614285714285717,2.8679999999999994,5.503571428571428
2012-06-15,0,5.603333333333333,3.361999999999999,2.6014285714285714,2.5189999999999992,5.503571428571428
2012-06-16,0,0.7299999999999999,3.361999999999999,2.4014285714285717,2.3689999999999993,5.079285714285715
2012-06-17,0,-1.1102230246251565e-16,3.361999999999999,2.4014285714285717,2.0029999999999992,2.206428571428571
2012-06-18,0,-1.1102230246251565e-16,0.4379999999999994,2.4014285714285717,1.8209999999999993,2.0485714285714285
2012-06-19,0,-1.1102230246251565e-16,-5.773159728050814e-16,2.4014285714285717,1.6809999999999992,1.799285714285714
2012-06-20,0,-1.1102230246251565e-16,-5.773159728050814e-16,0.31285714285714333,1.6809999999999992,1.6921428571428567
2012-06-21,0,-1.1102230246251565e-16,-5.773159728050814e-16,4.916701966197122e-16,1.6809999999999992,1.4307142857142854
2012-06-22,0,-1.1102230246251565e-16,-5.773159728050814e-16,4.916701966197122e-16,1.6809999999999992,1.3007142857142853
2012-06-23,0,-1.1102230246251565e-16,-5.773159728050814e-16,4.916701966197122e-16,0.21899999999999942,1.2007142857142854
2012-06-24,0.19,0.06333333333333323,0.03799999999999942,0.027142857142857635,0.0189999999999994,1.214285714285714
2012-06-25,0.67,0.28666666666666657,0.17199999999999943,0.12285714285714334,0.08599999999999941,1.2621428571428568
2012-06-26,2.43,1.0966666666666667,0.6579999999999995,0.47000000000000053,0.3289999999999994,1.4357142857142853
2012-06-27,0.89,1.3299999999999998,0.8359999999999994,0.5971428571428576,0.4179999999999994,0.45499999999999974
