date,MaxWindDir_deg,MaxWindSp_ms
5/4/15,NA,NA
5/5/15,NA,NA
5/6/15,NA,NA
5/7/15,NA,NA
5/8/15,NA,NA
5/9/15,NA,NA
5/10/15,NA,NA
5/11/15,NA,NA
5/12/15,NA,NA
5/13/15,NA,NA
5/14/15,NA,NA
5/15/15,NA,NA
5/16/15,NA,NA
5/17/15,NA,NA
5/18/15,NA,NA
5/19/15,NA,NA
5/20/15,NA,NA
5/21/15,NA,NA
5/22/15,NA,NA
5/23/15,NA,NA
5/24/15,NA,NA
5/25/15,NA,NA
5/26/15,NA,NA
5/27/15,NA,NA
5/28/15,NA,NA
5/29/15,NA,NA
5/30/15,NA,NA
5/31/15,NA,NA
6/1/15,NA,NA
6/2/15,NA,NA
6/3/15,NA,NA
6/4/15,358.3,3.3
6/5/15,359.8,2.6
6/6/15,359.7,4
6/7/15,336.6,3.4
6/8/15,329.1,4
6/9/15,359,3.4
6/10/15,352,4.5
6/11/15,326.6,13
6/12/15,356.9,6
6/13/15,359.1,9
6/14/15,359,4.4
6/15/15,287,4.9
6/16/15,355.3,7.4
6/17/15,359.7,8.7
6/18/15,335.7,6.8
6/19/15,358.9,9.7
6/20/15,357.6,7.7
6/21/15,357.7,9.1
6/22/15,358.7,8.1
6/23/15,358.5,10.2
6/24/15,347,10.2
6/25/15,357.4,8.6
6/26/15,355.2,6.2
6/27/15,340.9,3.8
6/28/15,304.1,9.8
6/29/15,345.8,7.8
6/30/15,338.8,6
7/1/15,322,6.9
7/2/15,356.3,9.2
7/3/15,355.7,7.3
7/4/15,358.6,6.2
7/5/15,337.4,6.1
7/6/15,357.8,5.2
7/7/15,359.9,7.3
7/8/15,355,9.6
7/9/15,351.8,4
7/10/15,358,10.1
7/11/15,352.1,6.7
7/12/15,343.7,6.4
7/13/15,352.2,5.8
7/14/15,280,6.6
7/15/15,359.3,10.5
7/16/15,359.9,7.7
7/17/15,334.3,6.5
7/18/15,354.1,7.5
7/19/15,343,20.8
7/20/15,348.8,7.8
7/21/15,359.6,8.4
7/22/15,355.8,12.7
7/23/15,349.7,8.6
7/24/15,358.3,7
7/25/15,315.1,4.5
7/26/15,268,4.9
7/27/15,350.7,3.6
7/28/15,358,6.5
7/29/15,350.8,5.5
7/30/15,355.6,8.1
7/31/15,322.4,9.5
8/1/15,352.3,8.5
8/2/15,328.9,7.8
8/3/15,359.2,12
8/4/15,354,8.6
8/5/15,345.9,9.3
8/6/15,350.9,9.3
8/7/15,358.9,5.3
8/8/15,359.9,6.5
8/9/15,342.6,4.2
8/10/15,349.9,6.8
8/11/15,325.6,7.1
8/12/15,328.8,7.3
8/13/15,350.7,10
8/14/15,352.2,8.7
8/15/15,353.4,8.3
8/16/15,352.7,5.4
8/17/15,359.7,6.2
8/18/15,355.7,7.3
8/19/15,344.2,6.5
8/20/15,275,8
8/21/15,356.2,5.9
8/22/15,358.1,4.2
8/23/15,350.8,16.5
8/24/15,351.5,6
8/25/15,316.7,7.5
8/26/15,358.1,6.2
8/27/15,331.9,8.6
8/28/15,359.9,7.3
8/29/15,327.3,6.3
8/30/15,353.1,5.5
8/31/15,351.5,10.4
9/1/15,357.9,5.8
9/2/15,359.5,4.9
9/3/15,359.6,6.7
9/4/15,351.4,7.3
9/5/15,359.7,4.1
9/6/15,350.2,5.5
9/7/15,300,7.9
9/8/15,313.3,7.3
9/9/15,356.3,12.2
9/10/15,358.6,6.4
9/11/15,358.8,7.4
9/12/15,338.3,4.6
9/13/15,352.6,7.5
9/14/15,305,10.1
9/15/15,351.7,9
9/16/15,352,5.9
9/17/15,357.8,5.7
9/18/15,359.1,5.8
9/19/15,356.3,7
9/20/15,358.4,9.9
9/21/15,359.1,4.8
9/22/15,359,4.3
9/23/15,358.9,6.5
9/24/15,357.9,8.1
9/25/15,359.4,4.4
9/26/15,358.1,4
9/27/15,356.4,5.5
9/28/15,357.4,6.9
9/29/15,351.3,7.8
9/30/15,359.6,12.6
10/1/15,359.4,9.6
10/2/15,359.9,7.5
10/3/15,291.2,8.6
10/4/15,295,5.3
10/5/15,354.2,5.3
10/6/15,359,8.5
10/7/15,326.7,7.7
10/8/15,359.4,6.1
10/9/15,353.1,7
10/10/15,347.9,3.9
10/11/15,323.2,3.8
10/12/15,355.2,3.2
10/13/15,354.4,3.8
10/14/15,348.6,3.8
10/15/15,357.6,3.8
10/16/15,355.4,3.8
10/17/15,351.5,4.4
10/18/15,354.1,4.2
10/19/15,359.6,4.5
10/20/15,331,5.3
10/21/15,359.8,1.9
10/22/15,301.2,4.4
10/23/15,351.5,4.5
10/24/15,348.1,4.4
10/25/15,358.5,6
10/26/15,353,5.5
10/27/15,346.7,2.4
10/28/15,352.1,6.6
10/29/15,359.3,6.4
10/30/15,355.5,5.8
10/31/15,333.8,2.5
11/1/15,334,4.1
11/2/15,336.6,4.1
11/3/15,289.9,4.5
11/4/15,347.9,2
11/5/15,319.9,4.5
11/6/15,354.5,5.5
