site,date,year,month,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,week,light_sum,watertemp_min,watertemp_mean,watertemp_median,watertemp_max
Coffin,2012-08-16,2012,8,16,229,0.056588832,0.007073604,0.063662436,-0.014147208,33,947906.6,24.17,24.48125,24.52,24.87
Coffin,2012-08-23,2012,8,23,236,0.042441624,0.007073604,0.049515228,-0.014147208,34,1297293.8,23.14,23.59958333,23.66,24
Coffin,2012-08-30,2012,8,30,243,0.03536802,0,0.03536802,-0.014147208,35,1412543.4,22.13,22.64208333,22.63,23.14
Coffin,2012-09-06,2012,9,6,250,0.084883248,0,0.084883248,0.049515228,36,706740.2,21.63,22.13291667,22.215,22.63
Coffin,2012-09-13,2012,9,13,257,0.028294416,0,0.028294416,-0.056588832,37,917164.3,20.16,20.75333333,20.81,21.47
Coffin,2012-09-20,2012,9,20,264,0.03536802,0,0.03536802,0.007073604,38,NA,18.37,18.89666667,18.94,19.51
Coffin,2012-09-27,2012,9,27,271,0,0,0,-0.03536802,39,NA,NA,NA,NA,NA
Coffin,2012-10-05,2012,10,5,279,0.014147208,0,0.014147208,0.014147208,40,NA,NA,NA,NA,NA
Coffin,2013-04-24,2013,4,24,114,0,0,0,-0.014147208,16,NA,NA,NA,NA,NA
Coffin,2013-05-02,2013,5,2,122,0,0,0,0,17,NA,NA,NA,NA,NA
Coffin,2013-05-14,2013,5,14,134,0,0,0,0,19,NA,NA,NA,NA,NA
Coffin,2013-05-23,2013,5,23,143,0,0,0,0,20,NA,NA,NA,NA,NA
Coffin,2013-05-30,2013,5,30,150,0,0.007073604,0.007073604,0.007073604,21,NA,NA,NA,NA,NA
Coffin,2013-06-06,2013,6,6,157,0,0,0,-0.007073604,22,94050,17.09,17.7325,17.74,18.38
Coffin,2013-06-13,2013,6,13,164,0,0,0,0,23,NA,15.83,16.26375,16.225,16.62
Coffin,2013-06-20,2013,6,20,171,0,0,0,0,24,1031994.1,16.78,17.43833333,17.5,18.06
Coffin,2013-06-27,2013,6,27,178,0,0,0,0,25,746404.9,21.31,21.76833333,21.725,22.31
Coffin,2013-07-03,2013,7,3,184,0.007073604,0,0.007073604,0.007073604,26,965419.6,21.98,22.36708333,22.31,22.98
Coffin,2013-07-11,2013,7,11,192,0,0,0,-0.007073604,27,679560.8,24.18,24.47041667,24.52,24.69
Coffin,2013-07-18,2013,7,18,199,0.007073604,0,0.007073604,0.007073604,28,1222236.7,25.22,25.73666667,25.92,25.92
Coffin,2013-07-25,2013,7,25,206,0.226355329,0.042441624,0.268796953,0.261723349,29,800193.3,23.49,23.99,24,24.69
Coffin,2013-08-01,2013,8,1,213,0.077809644,0,0.077809644,-0.190987309,30,431882.8,22.98,23.675,23.66,24.18
Coffin,2013-08-08,2013,8,8,220,0.03536802,0,0.03536802,-0.042441624,31,432323.8,21.98,22.32375,22.31,22.81
Coffin,2013-08-15,2013,8,15,227,0.042441624,0,0.042441624,0.007073604,32,947486.5,20.49,20.95333333,20.98,21.31
Coffin,2013-08-22,2013,8,22,234,0.028294416,0,0.028294416,-0.014147208,33,896541.4,21.64,21.82375,21.81,22.14
Coffin,2013-08-29,2013,8,29,241,1.294469538,0.056588832,1.35105837,1.322763954,34,375522.1,22.31,22.84541667,22.81,23.49
Coffin,2013-09-05,2013,9,5,248,0.297091369,0.014147208,0.311238578,-1.039819793,35,1169321.7,21.64,22.02458333,22.06,22.31
Coffin,2013-09-11,2013,9,11,254,0.014147208,0,0.014147208,-0.297091369,36,902687.2,19.68,19.91833333,19.925,20.17
Coffin,2013-09-18,2013,9,18,261,0.077809644,0,0.077809644,0.063662436,37,NA,NA,NA,NA,NA
Coffin,2013-09-25,2013,9,25,268,0.063662436,0,0.063662436,-0.014147208,38,NA,NA,NA,NA,NA
Coffin,2013-10-02,2013,10,2,275,0.03536802,0.014147208,0.049515228,-0.014147208,39,NA,NA,NA,NA,NA
Coffin,2013-10-09,2013,10,9,282,0.028294416,0,0.028294416,-0.021220812,40,NA,NA,NA,NA,NA
Coffin,2014-05-29,2014,5,29,149,0,0,0,-0.028294416,21,NA,NA,NA,NA,NA
Coffin,2014-06-05,2014,6,5,156,0,0.014147208,0.014147208,0.014147208,22,NA,NA,NA,NA,NA
Coffin,2014-06-12,2014,6,12,163,0.014147208,0.007073604,0.021220812,0.007073604,23,135217,18.22,18.70583333,18.71,19.03
Coffin,2014-06-19,2014,6,19,170,0,0,0,-0.021220812,24,1240115.5,17.9,18.40208333,18.38,19.03
Coffin,2014-06-26,2014,6,26,177,0.120251269,0.091956852,0.212208121,0.212208121,25,617442.4,19.19,19.95125,19.925,20.33
Coffin,2014-07-02,2014,7,2,183,0.049515228,0.014147208,0.063662436,-0.148545685,26,984719.3,22.14,22.69375,22.48,23.83
Coffin,2014-07-09,2014,7,9,190,0.049515228,0.049515228,0.099030457,0.03536802,27,1028969.8,21.48,21.91458333,21.81,22.48
Coffin,2014-07-17,2014,7,17,198,0.183913705,0.077809644,0.261723349,0.162692893,28,1231913.9,22.98,23.33916667,23.32,23.66
Coffin,2014-07-23,2014,7,23,204,0.275870557,0.028294416,0.304164973,0.042441624,29,1106255,23.14,23.75291667,23.83,24.18
