Date,daily_mean_wnd_ms,sampling_time_temp,sampling_time
2013-06-28,4.007638889,87,NA
2013-06-29,3.416083916,87,NA
2013-06-30,2.548251748,87,NA
2013-07-01,1.821527778,87,NA
2013-07-02,3.434027778,87,NA
2013-07-03,2.961111111,87,87
2013-07-05,3.145833333,88,NA
2013-07-06,3.621678322,88,NA
2013-07-07,2.261538462,88,NA
2013-07-08,2.856944444,88,NA
2013-07-09,3.369444444,88,NA
2013-07-10,3.877083333,88,NA
2013-07-11,3.465972222,88,88
2013-07-12,2.122222222,89,NA
2013-07-13,2.01048951,89,NA
2013-07-14,2.203496503,89,NA
2013-07-15,2.960416667,89,NA
2013-07-16,2.948611111,89,NA
2013-07-17,2.883333333,89,NA
2013-07-18,2.904166667,89,89
2013-07-19,4.7125,90,NA
2013-07-20,4.616666667,90,NA
2013-07-21,2.1875,90,NA
2013-07-22,3.241666667,90,NA
2013-07-23,2.726388889,90,NA
2013-07-24,4.130555556,90,NA
2013-07-25,2.176388889,90,90
2013-07-26,3.004861111,91,NA
2013-07-27,2.755244755,91,NA
2013-07-28,3.416083916,91,NA
2013-07-29,2.550694444,91,NA
2013-07-30,3.371527778,91,NA
2013-07-31,2.063888889,91,NA
2013-08-01,3.008333333,91,91
2013-08-02,3.426388889,92,NA
2013-08-03,4.234965035,92,NA
2013-08-04,3.706293706,92,NA
2013-08-05,4.547222222,92,NA
2013-08-06,2.09375,92,NA
2013-08-07,3.00625,92,NA
2013-08-08,3.283333333,92,92
2013-08-09,2.434722222,93,NA
2013-08-10,4.39020979,93,NA
2013-08-11,3.167132867,93,NA
2013-08-12,2.434722222,93,NA
2013-08-13,1.834722222,93,NA
2013-08-14,5.436111111,93,NA
2013-08-15,4.217361111,93,93
2013-08-16,2.673611111,94,NA
2013-08-17,2.184027778,94,NA
2013-08-18,2.365277778,94,NA
2013-08-19,3.135416667,94,NA
2013-08-20,2.289583333,94,NA
2013-08-21,2.820833333,94,NA
2013-08-22,3.373611111,94,94
2013-08-23,4.052083333,95,NA
2013-08-24,1.756643357,95,NA
2013-08-25,2.865734266,95,NA
2013-08-26,3.588888889,95,NA
2013-08-27,1.457446809,95,NA
2013-08-28,2.100694444,95,NA
2013-08-29,3.3125,95,95
2013-08-30,2.625,96,NA
2013-08-31,2.784615385,96,NA
2013-09-01,2.064335664,96,NA
2013-09-02,2.478472222,96,NA
2013-09-03,2.710416667,96,NA
2013-09-04,4.389583333,96,NA
2013-09-05,4.009027778,96,96
2013-09-06,2.906944444,97,NA
2013-09-07,3.332167832,97,NA
2013-09-08,4.736363636,97,NA
2013-09-09,3.204195804,97,NA
2013-09-10,2.23125,97,NA
2013-09-11,3.178472222,97,97
2013-09-12,2.529861111,98,NA
2013-09-13,3.545833333,98,NA
2013-09-14,3.752447552,98,NA
2013-09-15,3.454545455,98,NA
2013-09-16,4.226388889,98,NA
2013-09-17,2.893055556,98,NA
2013-09-18,2.582638889,98,98
2013-09-19,2.104861111,99,NA
2013-09-20,2.259722222,99,NA
2013-09-21,4.472916667,99,NA
2013-09-22,4.952083333,99,NA
2013-09-23,5.776388889,99,NA
2013-09-24,5.151388889,99,NA
2013-09-25,3.846428571,99,99
2013-09-26,2.446527778,100,NA
2013-09-27,1.844444444,100,NA
2013-09-28,2.367832168,100,NA
2013-09-29,1.546853147,100,NA
2013-09-30,1.475,100,NA
