date,log_gloeo,date_1weeklag,site,watertemp_daily_mean,watertemp_daily_median,watertemp_daily_max,watertemp_daily_min,watertemp_daily_sd,watertemp_daily_range,watertemp_daily_cv,watertemp_daily_obs
2013-08-15,-0.261007489,2013-08-08,midge,22.61375,22.51,23.09,22.09,0.340444882,1,0.015054773,24
2013-08-22,0.464020014,2013-08-15,midge,21.55166667,21.59,21.76,21.26,0.18475993,0.5,0.008572884,24
2013-08-29,0.200874374,2013-08-22,midge,23.375,23.27,24.13,22.76,0.432575703,1.37,0.018505912,24
2013-09-05,0.624529027,2013-08-29,midge,22.35125,22.345,22.76,22.09,0.171421487,0.67,0.007669436,24
2013-09-11,0.975287543,2013-09-04,midge,22.69041667,22.76,22.93,22.43,0.1556607,0.5,0.006860196,24
2013-09-18,1.911903337,2013-09-11,midge,20.75625,20.35,21.93,19.95,0.814279156,1.98,0.039230553,24
2013-09-25,-0.33405872,2013-09-18,midge,18.64208333,18.49,19.31,18.17,0.325829766,1.14,0.017478184,24
2013-10-02,-0.625198638,2013-09-25,midge,16.78333333,16.73,16.89,16.73,0.08,0.16,0.004766634,9
2013-10-09,-1.496285346,2013-10-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-29,-2.443697499,2014-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-05,-1.971688914,2014-05-29,midge,15.20111111,14.99,16.26,14.67,0.508218566,1.59,0.033432988,9
2014-06-12,-2.443697499,2014-06-05,midge,17.39166667,17.69,18.01,16.58,0.606125734,1.43,0.034851504,24
2014-06-19,-0.860125707,2014-06-12,midge,18.35833333,18.33,18.82,18.01,0.217528942,0.81,0.011849057,24
2014-06-26,-0.638356522,2014-06-19,midge,19.96458333,19.95,20.6,19.47,0.428952001,1.13,0.021485648,24
2014-07-02,0.122662711,2014-06-25,midge,20.18375,20.19,20.6,19.95,0.15747498100000001,0.65,0.007802068,24
2014-07-09,0.571870565,2014-07-02,midge,24.75458333,24.82,25.52,23.44,0.40776143,2.08,0.016472159,24
2014-07-17,-0.028114094,2014-07-10,midge,23.24,23.27,23.61,22.76,0.296017038,0.85,0.012737394,24
2014-07-23,0.236155645,2014-07-16,midge,24.68583333,24.64,24.99,24.47,0.14811619,0.52,0.006000048,24
2014-07-30,0.115658146,2014-07-23,midge,25.53833333,25.52,26.22,25.17,0.329764958,1.05,0.012912548,24
2014-08-06,0.232573947,2014-07-30,midge,23.19708333,23.09,23.78,22.76,0.35125216,1.02,0.015142083,24
2014-08-12,-0.233858277,2014-08-05,midge,23.79125,23.525,24.64,23.27,0.545896251,1.37,0.022945253,24
2014-08-20,0.389355182,2014-08-13,midge,22.91708333,23.01,23.61,22.26,0.432459892,1.35,0.018870634,24
2014-08-27,-0.511780809,2014-08-20,midge,21.08583333,21.09,21.59,20.76,0.185845112,0.83,0.008813743,24
2014-09-04,0.060517987,2014-08-28,midge,22.6075,22.59,23.44,21.76,0.410029161,1.68,0.018136864,24
2014-09-10,-0.390623935,2014-09-03,midge,23.23875,23.27,23.44,23.09,0.112300548,0.35,0.004832469,24
2014-09-17,0.294479877,2014-09-10,midge,21.70333333,21.76,21.93,21.59,0.10829375,0.34,0.004989729,24
2014-09-25,-0.988723737,2014-09-18,midge,18.75208333,18.66,18.98,18.49,0.164923676,0.49,0.008794952,24
2014-10-03,-1.750869961,2014-09-26,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-10,-0.882977839,2014-10-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-14,-2.443697499,2015-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-21,-1.971688914,2015-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-28,-0.882977839,2015-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-05,-1.971688914,2015-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-11,-1.750869961,2015-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-19,-1.019738166,2015-06-12,midge,18.73458333,18.69,19.34,18.21,0.364596014,1.13,0.019461122,24
2015-07-02,-1.089324144,2015-06-25,midge,21.34208333,21.3,21.8,20.97,0.282750146,0.83,0.013248479,24
2015-07-09,-1.336849366,2015-07-02,midge,20.41416667,20.4,20.81,19.99,0.29150161,0.82,0.014279378,24
2015-07-16,-0.710885488,2015-07-09,midge,22.45916667,22.47,22.63,22.3,0.149867091,0.33,0.00667287,24
2015-07-30,0.147420803,2015-07-23,midge,23.83708333,23.83,24.34,23.66,0.177089493,0.68,0.007429159,24
2015-08-06,-0.726966985,2015-07-30,midge,25.44916667,25.645,25.91,24.34,0.431165424,1.57,0.016942222,24
2015-08-13,-0.413891563,2015-08-06,midge,24.1275,24.17,24.34,24,0.103346189,0.34,0.004283336,24
2015-08-20,-0.095329208,2015-08-13,midge,23.44833333,23.48,23.83,23.14,0.233771845,0.69,0.009969657,24
2015-08-25,-0.174886389,2015-08-18,midge,25.29291667,25.04,26.26,24.52,0.627475821,1.74,0.024808362,24
2015-09-03,-0.021608123,2015-08-27,midge,24.19125,24.17,24.34,23.83,0.160983729,0.51,0.006654626,24
2015-09-10,1.149476731,2015-09-03,midge,24.03041667,23.915,24.52,23.66,0.359776249,0.86,0.014971702,24
2015-09-17,0.323140758,2015-09-10,midge,24.74291667,24.69,25.04,24.34,0.215476805,0.7,0.008708626,24
2015-09-24,-0.110909702,2015-09-17,midge,22.57958333,22.47,23.14,22.13,0.395567607,1.01,0.017518818,24
2015-10-02,-0.413891563,2015-09-25,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-10-12,-1.172227408,2015-10-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-05-26,-0.988723737,2016-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-03,-1.172227408,2016-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-16,-0.959777296,2016-06-09,midge,18.49958333,18.37,19.34,17.73,0.505315047,1.61,0.027314942,24
2016-06-23,0.206639202,2016-06-16,midge,16.28083333,16.13,17.24,15.66,0.487441561,1.58,0.029939595,24
2016-06-30,0.547313691,2016-06-23,midge,20.82666667,20.81,21.13,20.48,0.241492941,0.65,0.011595372,24
