date,ppt_mm,sum_3,sum_5,sum_7,sum_10,sum_14
2006-06-24,10.32,11.100000000000007,21.55,21.549999999999997,22.229999999999997,37.11
2006-06-25,1.81,12.910000000000007,14.370000000000003,23.359999999999996,23.359999999999996,24.040000000000003
2006-06-26,21.5,33.63000000000001,34.410000000000004,44.86,44.85999999999999,45.54
2006-06-27,12.2,35.510000000000005,46.61,48.06999999999999,57.059999999999995,57.74
2006-06-28,0,33.7,45.83,46.60999999999999,57.059999999999995,57.74
2006-06-29,36.5,48.7,72.01,83.11,93.55999999999999,93.56
2006-06-30,8.52,45.02,78.72,90.85,93.08999999999999,102.08
2006-07-01,0.97,45.99000000000001,58.19,81.5,92.6,103.05
2006-07-02,0.41,9.900000000000002,46.4,80.1,93.00999999999999,103.46
2006-07-03,0.65,2.030000000000003,47.05,59.24999999999999,92.88,104.11
2006-07-04,0,1.060000000000003,10.549999999999999,47.05,82.55999999999999,95.12
2006-07-05,0.03,0.6800000000000029,2.059999999999999,47.07999999999999,80.78,93.69
2006-07-06,0,0.030000000000002913,1.0899999999999992,10.579999999999995,59.279999999999994,93.69
2006-07-07,0,0.030000000000002913,0.6799999999999993,2.0599999999999943,47.08,92.91
2006-07-08,0,2.914335439641036e-15,0.029999999999999263,1.0899999999999943,47.08,82.59
2006-07-09,0,2.914335439641036e-15,0.029999999999999263,0.6799999999999944,10.579999999999995,80.78
2006-07-10,0,2.914335439641036e-15,-7.355227538141662e-16,0.02999999999999435,2.059999999999995,59.28
2006-07-11,3.06,3.060000000000003,3.059999999999999,3.0899999999999945,4.149999999999995,50.14
2006-07-12,4.14,7.200000000000003,7.199999999999999,7.199999999999994,7.879999999999995,54.28
2006-07-13,70.69,77.89,77.89,77.88999999999999,77.91999999999999,88.47
2006-07-14,1.35,76.18,79.24,79.24,79.26999999999998,81.3
2006-07-15,0,72.04,79.24,79.24,79.23999999999998,80.33
2006-07-16,0,1.350000000000003,76.17999999999999,79.24,79.23999999999998,79.92
2006-07-17,0,2.914335439641036e-15,72.03999999999999,79.24,79.23999999999998,79.27
2006-07-18,0,2.914335439641036e-15,1.3499999999999994,76.17999999999999,79.23999999999998,79.27
2006-07-19,0.31,0.31000000000000294,0.30999999999999933,72.35,79.54999999999998,79.55
2006-07-20,0,0.31000000000000294,0.30999999999999933,1.6599999999999941,79.54999999999998,79.55
2006-07-21,0,0.31000000000000294,0.30999999999999933,0.30999999999999417,76.48999999999998,79.55
2006-07-22,0.77,0.7700000000000029,1.0799999999999994,1.079999999999994,73.11999999999999,80.32
2006-07-23,69.28,70.05,70.36,70.36,71.71,149.6
2006-07-24,0,70.05,70.05,70.36,70.35999999999999,149.6
2006-07-25,0,69.28,70.05,70.36,70.35999999999999,146.54
2006-07-26,0,2.914335439641036e-15,70.05,70.05,70.35999999999999,142.4
2006-07-27,0,2.914335439641036e-15,69.28,70.05,70.35999999999999,71.71000000000001
2006-07-28,0.74,0.7400000000000029,0.7399999999999942,70.78999999999999,71.1,71.10000000000001
2006-07-29,5.56,6.3000000000000025,6.299999999999994,75.58,76.35,76.66
2006-07-30,11.23,17.530000000000005,17.529999999999994,17.529999999999998,87.57999999999998,87.89
2006-07-31,0,16.790000000000003,17.529999999999994,17.529999999999998,87.57999999999998,87.89
2006-08-01,3.36,14.590000000000003,20.889999999999993,20.889999999999997,90.16999999999999,91.25
2006-08-02,2.85,6.210000000000003,22.999999999999993,23.74,23.739999999999984,93.79
2006-08-03,4.24,10.450000000000003,21.679999999999996,27.979999999999997,27.979999999999983,98.03
2006-08-04,24.21,31.300000000000004,34.66,51.45,52.18999999999998,122.24000000000001
2006-08-05,2.7,31.150000000000006,37.35999999999999,48.59,54.889999999999986,124.17
2006-08-06,0,26.910000000000004,33.99999999999999,37.36,54.889999999999986,54.89
2006-08-07,1.91,4.610000000000003,33.059999999999995,39.27,56.05999999999999,56.800000000000004
2006-08-08,0,1.910000000000003,28.819999999999997,35.91,50.499999999999986,56.800000000000004
2006-08-09,0,1.910000000000003,4.609999999999994,33.06,39.26999999999998,56.800000000000004
2006-08-10,0,3.1363800445660672e-15,1.9099999999999944,28.82,39.26999999999998,56.800000000000004
2006-08-11,6.94,6.940000000000004,8.849999999999994,11.55,42.84999999999999,63
2006-08-12,0,6.940000000000004,6.939999999999995,8.85,39.999999999999986,57.440000000000005
2006-08-13,0,6.940000000000004,6.939999999999995,8.85,35.759999999999984,46.21
2006-08-14,0,3.1363800445660672e-15,6.939999999999995,6.94,11.549999999999985,46.21
2006-08-15,2.38,2.380000000000003,9.319999999999995,9.32,11.229999999999984,45.230000000000004
2006-08-16,0,2.380000000000003,2.379999999999994,9.32,11.229999999999984,42.38
2006-08-17,0,2.380000000000003,2.379999999999994,9.32,9.319999999999984,38.14
2006-08-18,0,3.1363800445660672e-15,2.379999999999994,2.3799999999999994,9.319999999999984,13.930000000000001
2006-08-19,0,3.1363800445660672e-15,2.379999999999994,2.3799999999999994,9.319999999999984,11.23
2006-08-20,24.86,24.860000000000003,24.859999999999996,27.24,34.179999999999986,36.09
2006-08-21,5.94,30.800000000000004,30.799999999999994,33.18,33.179999999999986,40.12
2006-08-22,0,30.800000000000004,30.799999999999994,30.8,33.179999999999986,40.12
2006-08-23,4.23,10.170000000000003,35.029999999999994,35.03,37.40999999999998,44.35
2006-08-24,0.02,4.2500000000000036,35.05,35.05,37.429999999999986,44.370000000000005
2006-08-25,0.53,4.780000000000003,10.719999999999997,35.58,35.579999999999984,37.96
2006-08-26,0.01,0.5600000000000025,4.7899999999999965,35.59,35.58999999999998,37.97
2006-08-27,0,0.5400000000000025,4.7899999999999965,10.73,35.58999999999998,37.97
2006-08-28,13.92,13.930000000000003,14.479999999999997,18.71,49.509999999999984,51.89
2006-08-29,0.02,13.940000000000003,14.479999999999997,18.73,49.52999999999999,49.53
2006-08-30,0.8,14.740000000000004,14.749999999999996,15.299999999999999,25.469999999999985,50.33
