year,week,site,max,mean,median,min,obs,sd,watertemp_weekly_range,watertemp_weekly_cv
2010,21,newbury,21.16,20.976,20.99,20.83,10,0.12139924949429437,0.33000000000000185,0.005787530963686803
2010,22,newbury,21.66,20.10440476190476,20.34,15.99,168,1.1320564205808763,5.67,0.05630887529313856
2010,23,newbury,22.33,19.002440476190475,18.39,13.49,168,1.8107167658185908,8.839999999999998,0.09528864295548606
2010,24,newbury,18.72,17.376964285714287,17.189999999999998,16.79,168,0.5220959130556637,1.9299999999999997,0.03004528895100982
2010,25,newbury,22.83,20.259047619047617,20.67,17.43,168,1.4539581483385429,5.399999999999999,0.07176833658120864
2010,26,newbury,23.51,21.982678571428572,22.16,17.59,168,0.9512434177315432,5.920000000000002,0.04327240716551702
2010,27,newbury,26.82,22.83095238095238,22.49,20.67,168,1.4166559418571218,6.149999999999999,0.06204979618103986
2010,28,newbury,25.93,23.583511904761906,23.68,21.49,168,0.9577932095148505,4.440000000000001,0.04061283210841283
2010,29,newbury,26.82,25.28202380952381,25.24,23.85,168,0.6477464939216545,2.969999999999999,0.025620832366973982
2010,30,newbury,25.59,24.313630952380954,24.19,23.16,168,0.5856675658757687,2.4299999999999997,0.024088033869676558
2010,31,newbury,25.42,23.612916666666667,23.51,22.49,168,0.648924817034819,2.9300000000000033,0.02748177305647625
2010,32,newbury,25.93,24.29357142857143,24.19,22.83,168,0.7253000912810632,3.1000000000000014,0.02985563869905291
2010,33,newbury,25.24,23.44690476190476,23.33,22.49,168,0.6205251324299355,2.75,0.026465119329444734
2010,34,newbury,24.72,22.23970238095238,21.83,20.67,168,1.1393865486741923,4.049999999999997,0.051232095158343566
2010,35,newbury,25.07,22.31357142857143,22.16,20.5,168,1.1532693884312366,4.57,0.051684661602603515
2010,36,newbury,24.54,22.152797619047618,21.99,20.5,168,1.031997032439705,4.039999999999999,0.04658540425396944
2010,37,newbury,20.34,19.15422619047619,19.21,17.59,168,0.6433803849893107,2.75,0.03358947412395132
2010,38,newbury,18.39,17.764769230769232,17.75,17.11,130,0.32823279549454465,1.2800000000000011,0.018476614654021704
2011,22,newbury,16.8,15.841219512195122,15.69,15.37,41,0.4450291851213317,1.4300000000000015,0.028093113966303714
2011,23,newbury,22,18.93934523809524,18.89,15.37,168,2.087201415379077,6.630000000000001,0.11020451811506185
2011,24,newbury,19.86,16.22952380952381,16.16,13.8,168,1.6326092445951346,6.059999999999999,0.10059501829850898
2011,25,newbury,21.83,18.341488095238095,19.37,13.96,168,2.3665499889410384,7.8699999999999974,0.129027152903447
2011,26,newbury,21,18.78875,19.86,13.96,168,2.118709127809543,7.039999999999999,0.1127647729524073
2011,27,newbury,24.9,22.516666666666666,22.585,20.34,168,1.3587717536962247,4.559999999999999,0.060345155604569566
2011,28,newbury,24.9,23.771488095238094,23.94,22,168,0.7308412344942425,2.8999999999999986,0.03074444610140518
2011,29,newbury,27.36,25.25922619047619,25.07,24.03,168,0.705617321796265,3.3299999999999983,0.027935033182541154
2011,30,newbury,27,25.087916666666665,24.72,23.34,168,1.0206853715736848,3.66,0.04068434159500496
2011,31,newbury,25.42,24.21779761904762,24.2,23.34,168,0.49374340058682226,2.080000000000002,0.020387626007679845
2011,32,newbury,24.72,23.595059523809525,23.51,22.5,168,0.5725674889214648,2.219999999999999,0.02426641426115891
2011,33,newbury,23.68,22.17886904761905,22.5,19.21,168,1.1488038171479489,4.469999999999999,0.05179722260325422
2011,34,newbury,24.03,22.256309523809524,22,21,168,0.8235395780139902,3.030000000000001,0.03700252178524826
2011,35,newbury,23.34,21.03202380952381,20.84,18.4,168,1.0132863233471607,4.940000000000001,0.04817826056702732
2011,36,newbury,22.33,20.049464285714286,19.86,17.27,168,1.4613418732702967,5.059999999999999,0.07288682891699691
2011,37,newbury,21.5,20.23827380952381,20.34,18.4,168,0.7129931822064121,3.1000000000000014,0.035229940503665326
2011,38,newbury,19.86,18.581746031746032,18.56,17.92,126,0.40358806595850605,1.9399999999999977,0.02171959864638097
2012,21,newbury,16.95,13.997796610169491,13.33,12.41,59,1.4744117094467972,4.539999999999999,0.10533169973162972
2012,22,newbury,19.04,16.31809523809524,17.27,11.16,168,2.4152008513893906,7.879999999999999,0.14800752270099568
2012,23,newbury,18.88,16.55035714285714,16.31,13.33,168,1.0226652350903722,5.549999999999999,0.061791127905160496
2012,24,newbury,21.16,18.32970238095238,18.15,15.36,168,1.350271396802968,5.800000000000001,0.07366575674497178
2012,25,newbury,24.72,20.608333333333334,21.409999999999997,15.68,168,2.88633465566815,9.04,0.14005667556820783
2012,26,newbury,24.19,22.27077380952381,22.16,20.34,168,1.0724793576025624,3.8500000000000014,0.048156358049127615
2012,27,newbury,24.54,23.492797619047618,23.51,22.16,168,0.5995286827428888,2.379999999999999,0.025519680221345785
2012,28,newbury,26.11,24.3775,24.19,22.99,168,0.7601258562667563,3.120000000000001,0.031181452415824276
2012,29,newbury,26.11,25.165178571428573,25.24,23.85,168,0.4901313195830995,2.259999999999998,0.01947656831410578
2012,30,newbury,25.07,23.571369047619047,23.33,22.33,168,0.6141679787338983,2.740000000000002,0.026055677016178048
2012,31,newbury,25.42,23.593809523809522,23.33,22.33,168,0.9497890150356592,3.0900000000000034,0.04025585669313751
2012,32,newbury,25.76,24.17214285714286,24.02,22.83,168,0.6994027759043328,2.9300000000000033,0.02893424799107786
2012,33,newbury,25.42,24.52577380952381,24.54,23.51,168,0.42710345550599443,1.9100000000000001,0.01741447421080522
2012,34,newbury,25.42,24.249880952380952,24.19,23.51,168,0.4334059347836323,1.9100000000000001,0.017872497421109145
2012,35,newbury,24.54,23.27184523809524,23.16,22.16,168,0.5487194017832401,2.379999999999999,0.02357868042560736
2012,36,newbury,23.16,22.020119047619048,21.83,21.33,168,0.469210048459254,1.8300000000000018,0.02130824304103787
2012,37,newbury,21.83,20.5275,20.34,19.37,168,0.6210149602371288,2.4599999999999973,0.030252829630355804
2012,38,newbury,21.16,18.881607142857142,19.04,17.75,168,0.7121186491643063,3.41,0.037714938340600884
2012,39,newbury,18.56,17.725809523809524,17.75,17.11,105,0.3226267817355534,1.4499999999999993,0.018200961784125978
2013,21,newbury,13.33,12.180961538461538,12.09,11.32,104,0.5326878523309041,2.01,0.043731182521916316
2013,22,newbury,19.53,14.700059523809523,14.26,12.09,168,2.2009155680654957,7.440000000000001,0.14972154122918327
2013,23,newbury,18.72,16.357440476190476,16.47,12.25,168,1.6630067989043724,6.469999999999999,0.10166668809371539
2013,24,newbury,18.56,15.938690476190477,15.754999999999999,13.18,168,1.1399257038106276,5.379999999999999,0.07151940779033703
